Rank,Title,Username,Rating,Points,Tie Break,Performance
1,,singh_amit_36,1770,4.5,16.25,1982.4
2,,arkosa,1912,4.0,14.0,1743.2
3,,antarmallick98,1500,4.0,11.5,1586.6
4,,ashokno1,1500,4.0,9.5,1582.2
5,,Gaurika18Agarwal,1500,4.0,8.5,1547.2
6,,Chandra_S_Tripathi,1500,4.0,7.0,1630.8
7,,aninsane_lc,1500,3.5,9.25,1484.2
8,,Dchoudhury123,946,3.0,7.0,1682.4
9,,Shauryanamo,1059,3.0,6.0,1600.0
10,,rishank08,1068,3.0,5.5,1600.0
11,,RITVIKMISHRAT71802,1267,3.0,5.5,1518.5
12,,pravin_kr,1500,3.0,5.5,1416.4
13,,AmitChessy,1500,3.0,5.0,1383.8
14,,Subhadip1221,1500,3.0,4.5,1384.4
15,,bishop793,879,3.0,4.0,1600.0
16,,Ashay2,1500,2.5,5.25,1204.6
17,,Ayintik,1500,2.5,4.5,1304.0
18,,Anvi-Shaha123,1011,2.5,4.25,1375.0
19,,manaschoudhary1234,1500,2.5,3.0,1441.75
20,,sekhar_7das,671,2.5,2.5,1380.0
21,,fredonkulous,1500,2.0,4.5,1054.8
22,,prisha2909,1500,2.0,3.5,1187.6
23,,ADVIKMISHRAT71802,1074,2.0,3.25,1353.4
24,,Shoumik-Das,1136,2.0,3.0,1400.0
25,,Amaya_Singh,1500,2.0,2.0,1015.6
26,,DKShaha321,1500,1.5,2.0,1175.8
27,,PriyankaShaha,640,1.5,1.75,1134.2
28,,AtulyaP_17,1500,1.5,1.75,930.8
29,,ShubhroCool1,863,1.0,1.5,1000.0
30,,turjo462,1500,1.0,1.0,1139.75
31,,sanjeev2206,1500,1.0,1.0,961.4
32,,Chaiti25,1500,1.0,0.0,901.0
33,,SouravEGV,1500,0.5,1.0,1024.6666
34,,dkoushik,865,0.0,0.0,1000.0
35,,mohit_7530,1500,0.0,0.0,689.5
